67	27
67	14
67	73
67	2
67	33
67	0
68	7
4	0
54	0
1	0
71	0
2	20
2	79
2	18
2	8
2	30
42	0
2	76
2	71
2	0
2	71
2	25
4	30
2	9
2	66
2	0
2	30
2	12
2	4
2	71
2	75
58	3
2	16
2	71
2	19
2	27
2	0
2	0
2	33
2	75
2	65
4	0
2	0
2	65
2	66
2	25
71	2
2	34
2	19
13	30
2	7
2	7
71	3
2	7
2	0
2	71
30	33
2	27
2	19
2	60
2	0
2	71
2	22
2	3
2	3
39	57
39	0
2	11
2	3
2	27
2	22
39	2
2	77
2	4
2	8
2	30
2	75
2	23
2	19
2	66
2	53
2	7
39	60
2	60
2	39
2	66
2	0
2	39
2	3
2	35
2	27
71	66
30	2
2	71
2	71
2	27
2	10
2	71
2	3
58	16
2	20
30	4
39	2
27	52
60	30
71	0
2	39
33	18
2	24
53	4
2	13
2	71
2	47
39	2
50	73
63	3
4	71
2	39
13	0
2	75
2	66
4	66
2	11
2	77
2	71
2	13
4	66
2	73
39	0
2	0
2	39
39	2
2	79
13	10
2	19
36	24
39	13
2	75
2	71
71	30
2	4
2	30
2	10
2	16
2	71
50	48
71	58
2	60
2	30
11	10
2	28
2	50
39	17
2	30
18	40
66	2
27	4
2	71
2	77
2	20
18	11
19	22
71	33
2	39
2	20
36	11
36	18
13	17
2	0
27	54
39	2
2	13
2	18
18	49
2	58
39	2
2	72
2	75
39	18
13	56
2	4
3	19
71	4
2	58
2	18
8	0
13	3
2	30
2	8
30	13
11	0
74	4
39	2
39	13
71	54
2	30
13	3
54	18
9	0
4	1
2	33
71	58
39	60
13	48
1	12
71	34
2	71
13	62
2	13
2	79
75	30
2	30
58	1
2	30
59	9
2	73
39	18
13	18
40	18
2	30
8	41
39	18
2	30
8	0
75	25
2	8
67	7
71	73
2	13
2	30
2	4
39	47
62	8
2	13
2	30
2	66
2	39
19	14
2	60
2	71
27	5
37	2
2	13
71	19
73	4
66	2
2	71
2	30
2	30
75	30
7	26
39	18
47	8
30	2
13	50
14	11
2	13
39	2
48	0
2	4
24	71
23	0
62	42
58	39
58	3
2	30
2	30
36	13
2	63
2	30
75	12
22	21
47	64
39	2
2	30
39	18
17	2
63	68
2	14
73	14
30	66
63	58
2	60
2	53
2	30
13	47
2	30
71	30
2	30
2	30
71	4
30	73
39	13
30	2
67	58
73	7
2	73
13	2
70	71
58	10
39	13
7	25
8	18
71	47
47	71
75	24
2	30
2	30
39	13
2	13
39	27
47	54
17	13
2	30
71	29
58	73
2	30
58	18
39	17
39	2
58	4
13	54
16	0
2	58
2	30
30	2
2	37
8	27
2	30
2	30
2	27
50	11
14	24
13	70
63	8
2	71
4	0
2	75
58	55
19	5
47	0
47	28
2	75
67	18
2	30
2	0
30	16
39	47
58	76
2	30
2	77
2	47
2	8
2	18
2	13
22	0
39	2
13	54
4	54
30	2
2	30
71	11
54	28
2	27
13	63
2	39
2	13
24	25
71	27
30	10
2	30
2	30
25	12
75	71
2	24
2	30
2	30
2	10
32	0
39	18
2	30
25	0
63	48
2	30
2	66
2	60
39	18
39	71
2	75
2	7
14	25
2	30
14	0
2	67
8	43
2	75
2	30
39	18
13	65
8	0
73	60
5	13
2	30
13	14
58	1
2	30
2	13
39	71
2	42
2	30
79	0
2	19
2	13
13	16
39	18
13	5
13	47
2	50
2	30
58	65
71	4
2	18
2	30
7	5
2	13
3	13
39	3
2	0
54	6
75	2
2	79
71	4
39	18
2	1
39	8
58	19
56	0
18	79
2	39
2	71
13	22
66	19
2	54
18	74
75	32
2	30
58	13
2	30
30	2
13	20
71	54
66	2
2	30
58	53
38	0
13	18
46	71
39	69
