截止	116
500	116
2000	116
仔细	116
去过	115
部队	115
陕西	115
减灾	115
免费	115
短	115
权威	115
广	115
宋飞京	115
震中距	114
塌方	114
发电机	114
睡	113
天	113
绵阳市	113
谣	113
回来	113
保护	113
分流	113
张	113
四川大学	112
有情	112
武汉	112
G212	112
全省	112
腾讯	111
计划	111
微	111
两个	111
生死	111
套	111
村庄	110
停电	110
减少	110
地震震中	110
华西都市报	110
兰海	110
驰援	110
共出动	110
埋压	110
天灾人祸	109
海拔	109
一线	109
甘段	109
情	109
发表	108
指挥部	108
众星	108
伤害	108
找到	108
照明灯	108
泥石流	107
时许	107
1108	107
博尔塔拉	107
小伙伴	106
没事	106
实施	106
不信	106
卫生	106
吃	106
路上	106
请为	106
管理	106
速报	105
强震	105
天气	105
396	105
昼夜	105
退	105
员工	105
八方支援	104
G75	104
日本	104
途中	104
顶	104
昔日	104
紧张	103
连续	102
施救	102
全	102
健康	102
公司	102
一方有难	102
岁	102
手册	102
四川人	101
确认	101
建筑	101
报道	101
3000	101
回家	100
归来	100
到来	100
已有	100
温差	100
比芒	99
中国地震局	99
问	99
避难	99
管理局	99
大队	98
日电	98
区	98
办理	97
短信	97
官方	97
场地	97
黄龙	96
灾	96
保证	95
堰塞湖	95
预计	95
护士	95
医疗器械	95
线路	94
舞台剧	94
1500	94
最全	94
导致	93
妈妈	93
公告	93
方式	93
照明设备	93
调拨	93
担心	92
只能	92
告诉	92
中央	92
睡袋	92
玩	91
一家	91
门	91
伤	91
赞	91
抢救	91
疏通	91
度过	90
关心	90
临时	90
脆弱	90
集团	90
巨石	90
207	90
棉帐篷	90
折叠床	90
原	89
暂	89
上海	89
危险	89
应	89
不幸	89
熊传刚	89
诈骗	89
提前	88
次生灾害	88
挺	88
还好	88
09	88
救助	88
著名景点	88
雅安	87
真	87
时刻	87
实拍	87
车票	87
办公室	87
博文	87
醒来	87
工作人员	86
公益	86
感	86
挽救	86
展开	86
资金	86
想要	86
评论	85
地震云	85
感谢	85
此刻	85
指挥	85
听到	84
抱	84
排查	84
统计	84
努力	83
带来	83
video	83
辆	83
预订	83
众志成城	82
特别	82
防灾	82
几天	82
一手	82
骗子	82
下午	81
休息	81
幸福	81
关键时刻	81
号	80
军队	80
应对	80
注意事项	80
导游	80
不到	80
程度	80
母亲	80
派出	79
组建	79
收到	79
呼吁	79
事情	79
日及	79
成功	79
完好	79
没了	79
工作组	78
部署	78
帮	78
一张	78
遭遇	78
面对	78
文旅	78
夜间	78
亿元	78
家里	77
美的	77
抽调	77
发出	77
企业	77
拥有	77
画面	77
用于	77
中央财政	77
海水	77
旺季	76
旅	76
排除	76
壹	76
因是	76
声	75
等待	75
不知	75
想起	75
学习	75
谢谢	75
确保	75
财政部	75
洛阳	74
渺小	74
位于	74
建设	74
副	74
强大	74
离开	74
彻夜进行	74
33.2	73
技巧	73
2008	73
接到	73
来临	73
升至	73
妻子	73
空旷	72
处置	72
美好	72
游	72
通行	72
景点	72
宝宝	72
旅游局	72
感动	72
哭	72
人民政府	72
挂机	72
值守	72
别信	72
袭	72
老百姓	72
多云	72
供电	71
成	71
晃动	71
涉及	71
多家	71
新华社	71
专业	71
一位	71
奔赴	71
演艺	71
自驾游	71
防震	70
广场	70
得知	70
女儿	70
干海子	70
阵雨	70
南	69
现	69
外	69
良心	69
怀孕	69
强	68
冷静	68
成立	68
震	68
盲目	68
飞	68
旅行	68
负责人	68
战士	68
长	68
救治	68
作出	68
午后	68
风景	67
早	67
感受	67
机票	67
亲人	67
局部	67
分散性	67
车窗	67
完	66
3.3	66
调集	66
取得联系	66
今夜	66
远离	66
抢险救灾	66
客服	66
一件	66
委	66
航空公司	66
真实情况	66
投资	66
丈夫	66
当晚	66
增多	66
身亡	66
沟口	65
远	65
医护人员	65
昨天晚上	65
增至	65
Video	65
微辣	65
指导	64
睡觉	64
指示	64
照片	64
郑波	64
看着	64
西部	64
遇	64
降雨	64
秩序井然	64
砸碎	64
封面	63
家乡	63
揪心	63
依然	63
行程	63
数字	63
一夜	63
听	63
不法分子	63
欲	63
平武	63
清晨	63
空中	63
早晚	63
找	62
发展	62
米	62
站	62
网上	62
寻人	62
背后	62
爸爸	62
懂得	62
国际	62
抢通	62
301	62
夫妇	62
5.3	62
计委	61
乡	61
同事	61
收藏	61
邯郸	61
钱财	61
抢	61
推	61
海西	61
北约	61
媒体	60
倒塌	60
日报	60
活动	60
没想到	60
震灾	60
纷纷	60
联合	60
特警	60
变	60
发改委	60
热	59
一份	59
赶赴现场	59
山区	59
之内	59
网站	59
黄晓明	59
